timestamp_query,distance_query,angle_query,timestamp_gallery,distance_gallery,angle_gallery
1604045684.536203,257.6657409667969,-3.525181770324707,1604045684.480492,262,-2.208251953125
1604045685.617635,255.31689453125,-3.7403032779693604,1604045685.660974,260,-2.318115234375
1604045686.627821,253.96136474609375,-3.164774179458618,1604045686.667806,258,-1.7303466796875
1604045687.7224,251.37179565429688,-2.284644603729248,1604045687.659731,257,-0.966796875
1604045688.729557,249.7619171142578,-1.7088868618011475,1604045688.698998,254,-0.3076171875
1604045689.820251,247.36248779296875,-0.884070634841919,1604045689.865697,252,0.4833984375
1604045690.834923,245.74908447265625,-0.5350217819213867,1604045690.877758,251,0.98876953125
1604045691.937417,243.6201629638672,0.15687082707881927,1604045691.893957,247,1.60400390625
1604045693.030751,241.5511016845703,1.5951789617538452,1604045693.081626,246,3.1256103515625
1604045694.117293,240.0869140625,4.134121894836426,1604045694.059826,245,5.5535888671875
1604045695.254711,238.41839599609375,7.347518444061279,1604045695.288933,242,9.0252685546875
1604045696.273113,237.0227813720703,10.929609298706055,1604045696.301519,240,12.601318359375
1604045697.330353,236.3251190185547,14.451642990112305,1604045697.275391,240,15.9466552734375
1604045698.41878,234.83096313476562,18.955615997314453,1604045698.491181,239,20.5938720703125
1604045699.51422,234.05438232421875,22.613744735717773,1604045699.470574,238,23.92822265625
1604045700.53488,233.46778869628906,25.142606735229492,1604045700.457994,237,26.5374755859375
1604045701.613668,232.65631103515625,27.559616088867188,1604045701.677119,236,28.8336181640625
1604045702.625691,232.23773193359375,28.483579635620117,1604045702.729881,236,29.6136474609375
1604045703.71602,231.7283172607422,28.549367904663086,1604045703.662192,235,30.12451171875
1604045704.840507,231.2252960205078,29.03611183166504,1604045704.882992,235,30.6353759765625
1604045708.51553,230.3863983154297,30.140504837036133,1604045708.681346,235,31.5966796875
1604045709.519232,229.826171875,31.10811996459961,1604045709.458738,235,32.310791015625
1604045710.523229,229.57870483398438,31.722599029541016,1604045710.458542,227,32.926025390625
1604045711.527338,229.42645263671875,32.4857063293457,1604045711.457692,231,33.7060546875
1604045712.624374,229.07595825195312,33.1380615234375,1604045712.670999,231,34.3817138671875
1604045713.716448,229.09046936035156,34.09925842285156,1604045713.681585,230,35.3045654296875
1604045714.718446,228.9998016357422,34.635169982910156,1604045714.661748,230,35.848388671875
1604045715.853865,228.80157470703125,34.87641143798828,1604045715.88334,230,36.03515625
1604045716.917399,228.71031188964844,35.402198791503906,1604045716.86011,230,36.5625
